00000,00001,10000,00010,00100,01000,01100,10001,10010,10100,11000,11001,11010,11100,11111,00011,00101,00110,00111,01001,01010,01101,01110,10011,10101,10110,11011,11110,01011,01111,10111,11101
37,29,36,33,42,28,26,24.0,23.0,29.0,32.0,33.0,29.0,35.0,21.0,39.0,28.0,30.0,32.0,31.0,42.0,36.0,28.0,25.0,32.0,38.0,22.0,26.0,44.0,31.0,30.0,29.0
35,31,31,26,47,44,34,47.0,30.0,32.0,33.0,22.0,35.0,37.0,19.0,27.0,32.0,35.0,29.0,41.0,28.0,29.0,34.0,29.0,19.0,26.0,26.0,25.0,26.0,31.0,24.0,36.0
38,34,33,25,38,31,34,30.0,36.0,35.0,17.0,35.0,34.0,32.0,22.0,39.0,34.0,33.0,39.0,36.0,31.0,30.0,26.0,31.0,29.0,28.0,25.0,32.0,30.0,27.0,27.0,29.0
41,37,42,37,36,39,35,22.0,33.0,35.0,25.0,30.0,28.0,31.0,21.0,38.0,32.0,36.0,27.0,26.0,28.0,41.0,36.0,28.0,34.0,23.0,26.0,27.0,26.0,35.0,27.0,18.0
39,36,32,32,42,25,29,30.0,31.0,40.0,35.0,31.0,26.0,23.0,28.0,28.0,44.0,33.0,30.0,31.0,35.0,26.0,23.0,35.0,32.0,28.0,47.0,32.0,21.0,21.0,26.0,29.0
36,37,30,41,41,40,24,33.0,29.0,33.0,27.0,39.0,35.0,26.0,23.0,32.0,27.0,42.0,25.0,27.0,33.0,33.0,38.0,30.0,30.0,27.0,32.0,39.0,18.0,25.0,21.0,27.0
30,28,23,39,41,40,37,31.0,48.0,25.0,27.0,21.0,31.0,21.0,30.0,26.0,34.0,34.0,26.0,32.0,31.0,30.0,37.0,47.0,27.0,28.0,27.0,34.0,31.0,19.0,34.0,31.0
36,41,31,37,42,29,37,39.0,37.0,28.0,37.0,31.0,30.0,36.0,28.0,39.0,30.0,41.0,21.0,30.0,21.0,26.0,33.0,28.0,28.0,23.0,23.0,33.0,22.0,28.0,28.0,27.0
38,33,29,28,34,28,28,38.0,27.0,24.0,37.0,33.0,25.0,24.0,34.0,35.0,26.0,41.0,35.0,36.0,19.0,32.0,34.0,32.0,31.0,29.0,29.0,46.0,31.0,23.0,28.0,33.0
40,42,41,49,42,32,32,23.0,22.0,32.0,42.0,21.0,22.0,22.0,31.0,40.0,38.0,21.0,28.0,31.0,33.0,28.0,36.0,38.0,25.0,37.0,24.0,23.0,30.0,25.0,23.0,27.0
